qid,label,creator,year,country,country_clean,geo_tag,collection,location_label,lat,lon,sitelinks,pageviews_12mo,score,en_article,image
Q12418,Mona Lisa,Leonardo da Vinci,1503,France,France,France,Department of Paintings of the Louvre,"Salle des États, Louvre",48.8601,2.3354,146,2286388,100.0,Mona Lisa,http://commons.wikimedia.org/wiki/Special:FilePath/Mona%20Lisa%2C%20by%20Leonardo%20da%20Vinci%2C%20from%20C2RMF%20natural%20color.jpg
Q45585,The Starry Night,Vincent van Gogh,1889,United States,United States,United States,Museum of Modern Art,Museum of Modern Art,40.761444444,-73.977611111,76,1248413,78.3,The Starry Night,http://commons.wikimedia.org/wiki/Special:FilePath/Van%20Gogh%20-%20Starry%20Night%20-%20Google%20Art%20Project.jpg
Q175036,Guernica,Pablo Picasso,1937,Spain,Spain,Spain,Museo Nacional Centro de Arte Reina Sofía,Museo Nacional Centro de Arte Reina Sofía,40.40857143,-3.6939961,70,980489,75.7,Guernica (Picasso),http://commons.wikimedia.org/wiki/Special:FilePath/Mural%20del%20%22Guernica%22%20de%20Picasso.jpg
Q185372,Girl with a Pearl Earring,Johannes Vermeer,1665,Netherlands,Netherlands,Netherlands,Mauritshuis,Mauritshuis,52.080388888,4.314305555,71,600916,74.0,Girl with a Pearl Earring,http://commons.wikimedia.org/wiki/Special:FilePath/1665%20Girl%20with%20a%20Pearl%20Earring.jpg
Q29530,Liberty Leading the People,Eugène Delacroix,1830,France,France,France,Department of Paintings of the Louvre,Room 700,48.8605,2.33494,67,309674,70.2,Liberty Leading the People,http://commons.wikimedia.org/wiki/Special:FilePath/La%20Libert%C3%A9%20guidant%20le%20peuple%20-%20Eug%C3%A8ne%20Delacroix%20-%20Mus%C3%A9e%20du%20Louvre%20Peintures%20RF%20129%20-%20apr%C3%A8s%20restauration%202024.jpg
Q151047,The Birth of Venus,Sandro Botticelli,1485,Italy,Italy,Italy,Uffizi Gallery,"Uffizi Gallery - Room 11-12, Botticelli's, Florence, Italy",43.768333333,11.255277777,57,528450,69.6,The Birth of Venus,http://commons.wikimedia.org/wiki/Special:FilePath/Sandro%20Botticelli%20-%20La%20nascita%20di%20Venere%20-%20Google%20Art%20Project%20-%20edited.jpg
Q208758,Las Meninas,Diego Velázquez,1656,Spain,Spain,Spain,Museo del Prado,Museo del Prado,40.413888888,-3.692222222,57,453515,69.0,Las Meninas,http://commons.wikimedia.org/wiki/Special:FilePath/Las%20Meninas%2C%20by%20Diego%20Vel%C3%A1zquez%2C%20from%20Prado%20in%20Google%20Earth.jpg
Q321303,The Garden of Earthly Delights,Hieronymus Bosch,1490,Spain,Spain,Spain,Museo del Prado,Museo del Prado,40.413888888,-3.692222222,49,702233,68.6,The Garden of Earthly Delights,http://commons.wikimedia.org/wiki/Special:FilePath/The%20Garden%20of%20Earthly%20Delights%20by%20Bosch%20High%20Resolution%202.jpg
Q219831,The Night Watch,Rembrandt,1642,Netherlands,Netherlands,Netherlands,Rijksmuseum,Nightwatch hall,52.359822,4.885017,58,282910,67.3,The Night Watch,http://commons.wikimedia.org/wiki/Special:FilePath/La%20ronda%20de%20noche%2C%20por%20Rembrandt%20van%20Rijn.jpg
Q698487,The Kiss,Gustav Klimt,1907,Austria,Austria,Austria,Belvedere,Belvedere,48.191388888,16.380833333,50,424673,66.8,The Kiss (Klimt),http://commons.wikimedia.org/wiki/Special:FilePath/The%20Kiss%20-%20Gustav%20Klimt%20-%20Google%20Cultural%20Institute.jpg
